"group","focus","title","description","file","line_range","status","e2e_flow","engagement","usefulness","maintenance_risk","lines","file_2","lines_2","file_3","lines_3","file_4","lines_4","file_5","lines_5","file_6","lines_6","file_7","lines_7","file_8","lines_8","file_9","lines_9","file_10","lines_10","file_11","lines_11","file_12","lines_12","file_13","lines_13","file_14","lines_14","file_15","lines_15","file_16","lines_16","file_17","lines_17","file_18","lines_18","file_19","lines_19","file_20","lines_20"
"RECORD","efficiency","Choose activity type quickly","User picks from recent or categorized activity types to start recording without scrolling through long lists. Quick-type grid shows last-used activities first for faster selection.","src/app/record.tsx","38-89","done","recording-start-stop.yaml: Home > tap record FAB > scroll activity type grid > expand Cycling category if collapsed > tap Ride to begin recording","medium","medium","low","10868","src/components/maps/ActivityMapView.tsx","1458","src/hooks/insights/generateInsights.ts","737","src/hooks/routes/useGpsDataFetcher.ts","731","src/lib/storage/gpsStorage.ts","315","src/hooks/routes/useSectionChartData.ts","612","src/types/routes.ts","562","src/lib/utils/format.ts","558","src/hooks/routes/useRouteEngine.ts","555","src/hooks/home/useSummaryCardData.ts","546","src/types/activity.ts","484","src/api/intervals.ts","470","src/components/ui/whatsNew/WhatsNewModal.tsx","454","src/hooks/routes/useRouteDataSync.ts","449","src/providers/MapPreferencesContext.tsx","440","src/hooks/maps/useMapLayers.tsx","384","src/lib/geo/polyline.ts","365","src/theme/colors.ts","395","src/hooks/maps/useMapCamera.ts","353","src/components/ui/SwipeableTabs.tsx","324"
"RECORD","reliability","Check GPS readiness before recording","User sees GPS signal quality before starting a GPS activity so they can wait for a fix. A 15-second timeout detects weak or absent signals and warns the user.","src/app/record.tsx","82-137","done","recording-live-metrics.yaml; recording-lock-overlay.yaml: Home > tap record FAB > observe the GPS readiness bar at the top of the activity type selector showing signal strength before choosing an activity","low","high","medium","10868","src/components/maps/ActivityMapView.tsx","1458","src/hooks/insights/generateInsights.ts","737","src/hooks/routes/useGpsDataFetcher.ts","731","src/lib/storage/gpsStorage.ts","315","src/hooks/routes/useSectionChartData.ts","612","src/types/routes.ts","562","src/lib/utils/format.ts","558","src/hooks/routes/useRouteEngine.ts","555","src/hooks/home/useSummaryCardData.ts","546","src/types/activity.ts","484","src/api/intervals.ts","470","src/components/ui/whatsNew/WhatsNewModal.tsx","454","src/hooks/routes/useRouteDataSync.ts","449","src/providers/MapPreferencesContext.tsx","440","src/hooks/maps/useMapLayers.tsx","384","src/lib/geo/polyline.ts","365","src/theme/colors.ts","395","src/hooks/maps/useMapCamera.ts","353","src/components/ui/SwipeableTabs.tsx","324"
"RECORD","reliability","Recover from recording crash","User is prompted to resume or discard a previous recording after an app crash. Periodic 15-second backups ensure minimal data loss from unexpected termination.","src/app/record.tsx","139-165","done","Not feasible: requires killing the app process mid-recording and relaunching; timing and state recovery are unreliable in automated E2E","low","high","medium","10868","src/components/maps/ActivityMapView.tsx","1458","src/hooks/insights/generateInsights.ts","737","src/hooks/routes/useGpsDataFetcher.ts","731","src/lib/storage/gpsStorage.ts","315","src/hooks/routes/useSectionChartData.ts","612","src/types/routes.ts","562","src/lib/utils/format.ts","558","src/hooks/routes/useRouteEngine.ts","555","src/hooks/home/useSummaryCardData.ts","546","src/types/activity.ts","484","src/api/intervals.ts","470","src/components/ui/whatsNew/WhatsNewModal.tsx","454","src/hooks/routes/useRouteDataSync.ts","449","src/providers/MapPreferencesContext.tsx","440","src/hooks/maps/useMapLayers.tsx","384","src/lib/geo/polyline.ts","365","src/theme/colors.ts","395","src/hooks/maps/useMapCamera.ts","353","src/components/ui/SwipeableTabs.tsx","324"
"RECORD","efficiency","Start paired workout recording","User can tap a planned calendar event to begin a recording pre-linked to that workout. The pairing flows through to the upload so intervals.icu matches it automatically.","src/app/record.tsx","80-81","done","Not feasible: calendar events have date-relative timing that changes between test runs; no stable demo fixture for planned workouts","medium","high","medium","10868","src/components/maps/ActivityMapView.tsx","1458","src/hooks/insights/generateInsights.ts","737","src/hooks/routes/useGpsDataFetcher.ts","731","src/lib/storage/gpsStorage.ts","315","src/hooks/routes/useSectionChartData.ts","612","src/types/routes.ts","562","src/lib/utils/format.ts","558","src/hooks/routes/useRouteEngine.ts","555","src/hooks/home/useSummaryCardData.ts","546","src/types/activity.ts","484","src/api/intervals.ts","470","src/components/ui/whatsNew/WhatsNewModal.tsx","454","src/hooks/routes/useRouteDataSync.ts","449","src/providers/MapPreferencesContext.tsx","440","src/hooks/maps/useMapLayers.tsx","384","src/lib/geo/polyline.ts","365","src/theme/colors.ts","395","src/hooks/maps/useMapCamera.ts","353","src/components/ui/SwipeableTabs.tsx","324"
"RECORD","reliability","Keep screen awake during recording","User's screen stays on while recording so they do not miss data or lose their session. The useKeepAwake hook prevents the OS from sleeping the display.","src/app/recording/[type].tsx","60-61","done","Not testable: OS-level screen wake behaviour cannot be asserted through Maestro UI selectors","low","high","low","12155","src/components/maps/ActivityMapView.tsx","1458","src/components/maps/mapStyles.ts","936","src/hooks/insights/generateInsights.ts","737","src/hooks/routes/useGpsDataFetcher.ts","731","src/components/maps/darkMatterStyle.ts","643","src/lib/storage/gpsStorage.ts","315","src/hooks/routes/useSectionChartData.ts","612","src/types/routes.ts","562","src/lib/utils/format.ts","558","src/hooks/routes/useRouteEngine.ts","555","src/hooks/home/useSummaryCardData.ts","546","src/types/activity.ts","484","src/components/ui/whatsNew/WhatsNewModal.tsx","454","src/hooks/routes/useRouteDataSync.ts","449","src/providers/MapPreferencesContext.tsx","440","src/hooks/maps/useMapLayers.tsx","384","src/lib/geo/polyline.ts","365","src/theme/colors.ts","395","src/components/recording/LockOverlay.tsx","335"
"RECORD","accuracy","Auto-pause when stationary","User's recording automatically pauses when speed drops below a configurable threshold for several seconds. Eliminates inflated duration from traffic lights and rest stops.","src/app/recording/[type].tsx","103-127","done","recording-settings.yaml: Home > tap record FAB > tap gear icon to open recording settings > verify auto-pause toggle is visible and can be switched on/off; threshold sliders for cycling, running, and walking are displayed below","medium","high","medium","12155","src/components/maps/ActivityMapView.tsx","1458","src/components/maps/mapStyles.ts","936","src/hooks/insights/generateInsights.ts","737","src/hooks/routes/useGpsDataFetcher.ts","731","src/components/maps/darkMatterStyle.ts","643","src/lib/storage/gpsStorage.ts","315","src/hooks/routes/useSectionChartData.ts","612","src/types/routes.ts","562","src/lib/utils/format.ts","558","src/hooks/routes/useRouteEngine.ts","555","src/hooks/home/useSummaryCardData.ts","546","src/types/activity.ts","484","src/components/ui/whatsNew/WhatsNewModal.tsx","454","src/hooks/routes/useRouteDataSync.ts","449","src/providers/MapPreferencesContext.tsx","440","src/hooks/maps/useMapLayers.tsx","384","src/lib/geo/polyline.ts","365","src/theme/colors.ts","395","src/components/recording/LockOverlay.tsx","335"
"RECORD","comprehension","View live recording metrics","User sees real-time speed, distance, heart rate, power, cadence, and elevation while recording. Data fields update continuously from GPS and sensor streams.","src/components/recording/DataFieldGrid.tsx","1-137","done","recording-live-metrics.yaml: Home > tap record FAB > select Ride > wait for recording screen to load > verify data field grid is visible with speed and distance fields updating in real time","high","high","medium","10134","src/components/maps/ActivityMapView.tsx","1458","src/hooks/insights/generateInsights.ts","737","src/hooks/routes/useGpsDataFetcher.ts","731","src/lib/storage/gpsStorage.ts","315","src/hooks/routes/useSectionChartData.ts","612","src/types/routes.ts","562","src/lib/utils/format.ts","558","src/hooks/routes/useRouteEngine.ts","555","src/hooks/home/useSummaryCardData.ts","546","src/types/activity.ts","484","src/hooks/routes/useRouteDataSync.ts","449","src/providers/MapPreferencesContext.tsx","440","src/hooks/maps/useMapLayers.tsx","384","src/lib/geo/polyline.ts","365","src/theme/colors.ts","395","src/hooks/maps/useMapCamera.ts","353","src/hooks/routes/useRoutePerformances.ts","318","src/lib/export/backup.ts","438","src/lib/geo/geocoding.ts","297"
"RECORD","reliability","Monitor GPS signal quality","User sees colour-coded GPS accuracy indicator during recording so they know if tracking is reliable. Green (<5m), amber (5-15m), and red (>15m) thresholds provide clear feedback.","src/components/recording/GpsSignalIndicator.tsx","1-53","done","recording-live-metrics.yaml: Home > tap record FAB > observe GPS readiness bar on the activity type selector screen showing colour-coded signal status before and during recording","low","medium","low","1124","src/theme/colors.ts","395","src/theme/shadows.ts","280","src/theme/typography.ts","165","src/theme/icons.ts","71","src/theme/index.ts","66","src/theme/chartStyles.ts","65","src/theme/spacing.ts","29","","","","","","","","","","","","","","","","","","","","","","","",""
"RECORD","control","Lock screen during recording","User swipes to lock the recording screen to prevent accidental taps while exercising. The lock overlay shows elapsed time, distance, speed, and a mini map.","src/components/recording/LockOverlay.tsx","1-335","done","recording-lock-overlay.yaml: Home > tap record FAB > select Ride > lock overlay auto-engages showing timer and distance > swipe the unlock handle right to reveal controls > tap the lock button to re-engage the overlay > verify overlay reappears with timer visible through it","medium","medium","medium","6553","src/components/maps/mapStyles.ts","936","src/components/maps/darkMatterStyle.ts","643","src/types/routes.ts","562","src/types/activity.ts","484","src/providers/MapPreferencesContext.tsx","440","src/theme/colors.ts","395","src/providers/AuthStore.ts","295","src/theme/shadows.ts","280","src/providers/RecordingStore.ts","278","src/providers/LanguageStore.ts","261","src/providers/DashboardPreferencesStore.ts","258","src/providers/SyncDateRangeStore.ts","255","src/components/recording/RecordingMap.tsx","241","src/theme/typography.ts","165","src/lib/utils/activityUtils.ts","196","src/providers/NotificationPreferencesStore.ts","136","src/providers/RouteSettingsStore.ts","135","src/providers/HRZonesStore.ts","130","src/providers/RecordingPreferencesStore.ts","128"
"RECORD","control","Pause and resume recording","User can pause, resume, lap, and stop recording with haptic-feedback controls. Long-press to stop prevents accidental activity termination.","src/components/recording/ControlBar.tsx","1-320","done","recording-start-stop.yaml: Home > tap record FAB > select Ride > swipe to unlock > tap pause button > verify resume and stop buttons appear > tap resume > verify pause button reappears (recording resumed) > tap pause again > long-press stop to end recording > verify review screen loads","medium","high","low","9790","src/components/maps/ActivityMapView.tsx","1458","src/hooks/insights/generateInsights.ts","737","src/hooks/routes/useGpsDataFetcher.ts","731","src/hooks/routes/useSectionChartData.ts","612","src/types/routes.ts","562","src/hooks/routes/useRouteEngine.ts","555","src/hooks/home/useSummaryCardData.ts","546","src/types/activity.ts","484","src/hooks/routes/useRouteDataSync.ts","449","src/providers/MapPreferencesContext.tsx","440","src/hooks/maps/useMapLayers.tsx","384","src/theme/colors.ts","395","src/hooks/maps/useMapCamera.ts","353","src/hooks/routes/useRoutePerformances.ts","318","src/providers/AuthStore.ts","295","src/hooks/insights/stalePrDetection.ts","294","src/hooks/routes/useCustomSections.ts","293","src/hooks/routes/useUnifiedSections.ts","284","src/theme/shadows.ts","280"
